pretrain_optimizer,run_folder,run_path,pretrain_base_path,finetune_type,finetune_optimizer,name_suffix,checkpoint_step,tensor_category,tensor_category_label,count,count_l_inf,mean_l_inf,var_l_inf,std_l_inf,min_l_inf,max_l_inf,count_l2,mean_l2,var_l2,std_l2,min_l2,max_l2,count_rms_rms_induced,mean_rms_rms_induced,var_rms_rms_induced,std_rms_rms_induced,min_rms_rms_induced,max_rms_rms_induced
adam,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,adamw,,400,norm,LayerNorm / RMSNorm,82,82,0.0008310864611369808,3.1579019176072573e-06,0.0017770486536972637,0.0,0.0091552734375,82,0.0013671026217786416,2.3741749797495446e-05,0.004872550645965154,0.0,0.041164816567121905,0,nan,nan,nan,nan,nan
adam,adam_ckpt_driving_fullft_muon,/scratch/celine/ft_out/adam_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,muon,,400,embed,Embedding / LM head,2,2,0.5142917633056641,0.0655370142267202,0.25600198090389886,0.3332710266113281,0.6953125,2,30.314002898805978,192.44088224483485,13.872306305904395,20.504801039204075,40.12320475840788,2,0.31885415036764997,0.0020173266078927555,0.04491465916482897,0.2870946902975169,0.35061361043778305
adam,adam_ckpt_driving_fullft_muon,/scratch/celine/ft_out/adam_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,muon,,400,q,Attention Q proj,27,27,0.034716005678530094,9.294831594637996e-05,0.009640970695234995,0.021759033203125,0.0621337890625,27,3.780463744559183,0.10965078036008985,0.3311355921070549,2.9554033724445823,4.219389351328923,27,0.21287759214199065,0.0003225412187463074,0.017959432584196734,0.181737975282933,0.25524059210502414
adam,adam_ckpt_driving_fullft_muon,/scratch/celine/ft_out/adam_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,muon,,400,kv,Attention KV proj,54,54,0.032115794994212965,9.506637665588254e-05,0.009750198800839013,0.021240234375,0.0865478515625,54,3.821428022902335,0.6441926196730815,0.8026161097766986,2.0794825887866075,5.105257667666882,54,0.282515703974691,0.027680292912186863,0.16637395502958646,0.09045626169708121,0.605204187052706
adam,adam_ckpt_driving_fullft_muon,/scratch/celine/ft_out/adam_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,muon,,400,o,Attention O proj,27,27,0.01834473786530671,4.784854963432434e-06,0.0021874311334148175,0.01385498046875,0.0234832763671875,27,3.737606125138504,0.5180864322871351,0.7197822117051346,2.0614966458992567,4.498596773974999,27,0.19140706846007594,0.0004413242955589343,0.02100771990385759,0.12745437026023865,0.212176114320755
adam,adam_ckpt_driving_fullft_muon,/scratch/celine/ft_out/adam_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,muon,,400,mlp,MLP / MoE experts,5073,5073,0.01325810019153769,9.413541607318206e-06,0.0030681495412248415,2.086162567138672e-06,0.074462890625,5073,2.9064585113840398,0.4750364504050935,0.6892288810004218,5.0282465462801295e-06,9.733010969528339,5073,0.8023702696094905,0.07066487475230748,0.26582865675526307,2.829909756740499e-06,1.8542174486723684
adam,adam_ckpt_driving_fullft_muon,/scratch/celine/ft_out/adam_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,muon,,400,router,MoE router gate,52,52,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0
adam,adam_ckpt_driving_fullft_muon,/scratch/celine/ft_out/adam_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,full,muon,,400,norm,LayerNorm / RMSNorm,82,82,0.001374779677972561,8.424379226188779e-06,0.0029024781181240245,0.0,0.01214599609375,82,0.002013209354435688,2.8488669913601943e-05,0.005337477860713049,0.0,0.03938520174473146,0,nan,nan,nan,nan,nan
adam,adam_ckpt_driving_muon,/scratch/celine/ft_out/adam_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,lora,muon,,2000,embed,Embedding / LM head,2,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0
adam,adam_ckpt_driving_muon,/scratch/celine/ft_out/adam_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_adam_hf_step_42000,lora,muon,,2000,q,Attention Q proj,27,27,0.04430530689380787,0.00013181284677629972,0.011480977605426278,0.03253173828125,0.0704345703125,27,3.9955455863546736,0.19367591807346551,0.4400862620821803,3.5157492382561686,5.094984501748664,27,1.159139441863591,0.04087960030966172,0.2021870428827271,0.9935449443490175,1.66900984815595
